Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AUY,07:00,4.00,4.00,4.00,4.00,4.00,250,1
20200102,AUY,07:14,3.98,3.98,3.98,3.98,3.98,400,1
20200102,AUY,07:43,3.98,3.98,3.98,3.98,3.98,450,1
20200102,AUY,08:08,3.97,3.97,3.97,3.97,3.97,400,1
20200102,AUY,08:10,3.98,3.98,3.98,3.98,3.98,1500,1
20200102,AUY,08:11,4.00,4.00,4.00,4.00,4.00,5000,4
20200102,AUY,08:28,3.98,3.98,3.98,3.98,3.98,3000,1
20200102,AUY,08:53,3.98,3.98,3.98,3.98,3.98,250,1
20200102,AUY,08:56,4.00,4.00,4.00,4.00,4.00,5000,1
20200102,AUY,08:59,4.00,4.00,4.00,4.00,4.00,250,2
20200102,AUY,09:01,4.00,4.00,4.00,4.00,4.00,100,1
20200102,AUY,09:04,4.01,4.01,4.01,4.01,4.01,1965,2
20200102,AUY,09:21,4.00,4.00,4.00,4.00,4.00,7500,2
20200102,AUY,09:28,4.01,4.01,4.01,4.01,4.01,600,1
20200102,AUY,09:29,3.99,3.99,3.99,3.99,3.99,114,1
20200102,AUY,09:30,4.01,4.01,4.00,4.0050,4.00976,166265,75
20200102,AUY,09:31,4.01,4.01,3.9950,3.9950,4.00119,31451,65
20200102,AUY,09:32,4.00,4.00,3.99,3.9950,3.99736,13800,45
20200102,AUY,09:33,4.00,4.00,3.99,4.00,3.99648,32956,97
20200102,AUY,09:34,4.00,4.01,3.9950,4.0050,4.0007,39415,81
20200102,AUY,09:35,4.0050,4.01,4.00,4.01,4.00926,87540,130
20200102,AUY,09:36,4.01,4.02,4.01,4.02,4.01758,40400,58
20200102,AUY,09:37,4.02,4.02,4.0150,4.02,4.01961,9010,46
20200102,AUY,09:38,4.02,4.02,4.01,4.01,4.01908,50367,72
20200102,AUY,09:39,4.01,4.01,3.9950,3.9950,4.00483,39442,62
20200102,AUY,09:40,3.9950,3.9950,3.98,3.99,3.98884,70376,82
20200102,AUY,09:41,3.9850,3.99,3.9850,3.9850,3.98645,16900,47
20200102,AUY,09:42,3.98,3.99,3.98,3.99,3.98957,31792,40
20200102,AUY,09:43,3.99,3.9950,3.98,3.9850,3.98974,74614,41
20200102,AUY,09:44,3.9850,3.9950,3.98,3.98,3.98817,102423,121
20200102,AUY,09:45,3.98,3.98,3.9750,3.98,3.9798,44700,61
20200102,AUY,09:46,3.98,3.9850,3.9750,3.9850,3.98031,99211,118
20200102,AUY,09:47,3.98,3.98,3.9750,3.98,3.97976,36822,51
20200102,AUY,09:48,3.98,3.98,3.9750,3.9750,3.97923,1306,9
20200102,AUY,09:49,3.9750,3.9750,3.97,3.97,3.97226,13300,20
20200102,AUY,09:50,3.97,3.98,3.97,3.98,3.97742,34087,53
20200102,AUY,09:51,3.98,3.99,3.98,3.9850,3.98014,55632,65
20200102,AUY,09:52,3.9850,3.99,3.98,3.9850,3.98441,11800,65
20200102,AUY,09:53,3.99,4.00,3.9850,3.99,3.9912,69529,92
20200102,AUY,09:54,3.99,3.9950,3.98,3.98,3.98657,32824,53
20200102,AUY,09:55,3.98,3.9850,3.98,3.98,3.98026,7755,16
20200102,AUY,09:56,3.98,3.98,3.98,3.98,3.98,1900,4
20200102,AUY,09:57,3.98,3.98,3.9750,3.9750,3.97931,47750,52
20200102,AUY,09:58,3.97,3.9750,3.9650,3.97,3.96993,67271,65
20200102,AUY,09:59,3.9650,3.97,3.96,3.96,3.96245,5300,11
20200102,AUY,10:00,3.9650,3.9750,3.9650,3.97,3.97005,21800,31
20200102,AUY,10:01,3.98,3.9850,3.97,3.98,3.97988,169107,164
20200102,AUY,10:02,3.98,3.9850,3.98,3.98,3.98152,66549,101
20200102,AUY,10:03,3.9850,3.9850,3.98,3.98,3.98052,3820,16
20200102,AUY,10:04,3.9850,3.99,3.9850,3.99,3.98929,45378,76
20200102,AUY,10:05,3.99,3.9950,3.99,3.9950,3.99083,1200,5
20200102,AUY,10:06,4.00,4.00,3.99,3.9950,3.99471,7000,24
20200102,AUY,10:08,3.99,3.9950,3.99,3.9950,3.99148,2700,12
20200102,AUY,10:09,3.99,3.9950,3.99,3.9950,3.99388,4637,15
20200102,AUY,10:10,3.99,3.9950,3.99,3.9950,3.99063,800,2
20200102,AUY,10:11,3.99,3.9950,3.99,3.9950,3.99041,8600,7
20200102,AUY,10:12,3.99,3.99,3.98,3.99,3.98959,50027,55
20200102,AUY,10:13,3.99,3.9950,3.9850,3.99,3.99015,27574,43
20200102,AUY,10:14,3.99,3.9950,3.99,3.9950,3.99256,4100,11
20200102,AUY,10:15,4.00,4.00,3.9950,4.00,3.99962,26608,37
20200102,AUY,10:16,4.00,4.00,3.9950,3.9950,3.99879,1238,5
20200102,AUY,10:17,4.00,4.00,3.99,3.9950,3.99152,3300,13
20200102,AUY,10:18,3.9950,3.9950,3.99,3.99,3.99111,900,6
20200102,AUY,10:19,3.99,3.9950,3.99,3.9950,3.99125,400,2
20200102,AUY,10:20,3.99,3.99,3.99,3.99,3.99,1238,5
20200102,AUY,10:21,3.9950,3.9950,3.99,3.9950,3.99159,2200,10
20200102,AUY,10:22,3.9950,3.9950,3.99,3.99,3.99038,1300,8
20200102,AUY,10:23,3.9950,3.9950,3.99,3.99,3.99246,1016,5
20200102,AUY,10:24,3.99,3.9950,3.99,3.99,3.99019,2700,9
20200102,AUY,10:25,3.9950,4.00,3.9950,3.9950,3.99825,4000,11
20200102,AUY,10:26,3.99,3.9950,3.99,3.99,3.99024,4200,20
20200102,AUY,10:27,4.00,4.00,3.9950,4.00,3.99958,15480,20
20200102,AUY,10:28,3.9950,4.00,3.99,3.99,3.99565,21238,36
20200102,AUY,10:29,3.99,4.00,3.99,3.99,3.99167,600,6
20200102,AUY,10:30,3.99,4.0050,3.99,4.0050,3.99979,106327,126
20200102,AUY,10:31,4.01,4.01,4.0050,4.0050,4.0075,200,2
