Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AVA,09:30,48.16,48.23,48.16,48.23,48.16212,3306,2
20200102,AVA,09:37,48.17,48.18,48.17,48.18,48.17881,840,6
20200102,AVA,09:40,48.13,48.13,48.11,48.12,48.12087,598,5
20200102,AVA,09:43,48.08,48.08,48.08,48.08,48.08,400,4
20200102,AVA,09:47,48.12,48.12,48.09,48.09,48.1075,400,4
20200102,AVA,09:48,48.05,48.05,48.05,48.05,48.05,100,1
20200102,AVA,09:51,47.98,47.98,47.98,47.98,47.98,100,1
20200102,AVA,09:53,47.93,47.93,47.92,47.92,47.92667,300,3
20200102,AVA,09:56,47.94,47.98,47.94,47.98,47.96,200,2
20200102,AVA,09:58,47.93,47.94,47.88,47.94,47.90455,1100,11
20200102,AVA,09:59,47.95,47.95,47.95,47.95,47.95,100,1
20200102,AVA,10:00,47.96,47.97,47.96,47.97,47.96869,764,7
20200102,AVA,10:01,48.03,48.03,48.03,48.03,48.03,100,1
20200102,AVA,10:03,47.98,47.98,47.98,47.98,47.98,100,1
20200102,AVA,10:05,47.97,47.97,47.94,47.94,47.95698,530,5
20200102,AVA,10:11,47.94,47.94,47.94,47.94,47.94,200,2
20200102,AVA,10:15,47.91,47.91,47.91,47.91,47.91,100,1
20200102,AVA,10:17,47.90,47.90,47.90,47.90,47.90,100,1
20200102,AVA,10:18,47.93,47.95,47.89,47.95,47.9275,400,4
20200102,AVA,10:19,47.96,47.97,47.96,47.97,47.965,200,2
20200102,AVA,10:20,47.97,47.97,47.97,47.97,47.97,100,1
20200102,AVA,10:21,47.98,47.99,47.98,47.99,47.98744,403,3
20200102,AVA,10:23,47.99,47.99,47.97,47.97,47.9775,400,4
20200102,AVA,10:26,47.94,47.97,47.94,47.97,47.955,200,2
20200102,AVA,10:27,47.97,47.97,47.96,47.96,47.96667,300,2
20200102,AVA,10:28,47.93,47.93,47.93,47.93,47.93,200,2
20200102,AVA,10:29,47.9150,47.9150,47.9150,47.9150,47.915,100,1
20200102,AVA,10:30,47.87,47.87,47.86,47.86,47.865,200,2
20200102,AVA,10:31,47.8950,47.8950,47.8950,47.8950,47.895,200,2
20200102,AVA,10:33,47.92,47.92,47.92,47.92,47.92,100,1
20200102,AVA,10:34,47.93,47.94,47.93,47.94,47.9325,400,2
20200102,AVA,10:35,47.93,47.93,47.93,47.93,47.93,117,1
20200102,AVA,10:36,47.97,47.97,47.92,47.92,47.9342,715,7
20200102,AVA,10:37,47.9350,47.9350,47.9350,47.9350,47.935,100,1
20200102,AVA,10:39,47.95,47.95,47.95,47.95,47.95,200,1
20200102,AVA,10:40,47.9550,47.9550,47.9550,47.9550,47.955,200,2
20200102,AVA,10:42,47.99,47.99,47.93,47.93,47.95,700,6
20200102,AVA,10:46,47.92,47.92,47.92,47.92,47.92,298,2
20200102,AVA,10:47,47.91,47.91,47.90,47.90,47.90509,407,3
20200102,AVA,10:48,47.88,47.92,47.88,47.92,47.89818,1015,10
20200102,AVA,10:49,47.88,47.88,47.88,47.88,47.88,100,1
20200102,AVA,10:50,47.88,47.9050,47.88,47.9050,47.89167,300,3
20200102,AVA,10:56,47.86,47.87,47.86,47.87,47.86125,800,6
20200102,AVA,10:57,47.87,47.90,47.87,47.89,47.885,1400,13
20200102,AVA,10:59,47.88,47.88,47.8710,47.8710,47.87541,204,2
20200102,AVA,11:00,47.87,47.87,47.87,47.87,47.87,100,1
20200102,AVA,11:01,47.89,47.90,47.89,47.90,47.89672,610,6
20200102,AVA,11:02,47.88,47.88,47.87,47.87,47.8775,400,3
20200102,AVA,11:03,47.84,47.84,47.80,47.80,47.81983,595,4
20200102,AVA,11:04,47.81,47.81,47.81,47.81,47.81,100,1
20200102,AVA,11:05,47.78,47.7950,47.78,47.7950,47.7875,200,2
20200102,AVA,11:06,47.7950,47.7950,47.78,47.78,47.7875,200,2
20200102,AVA,11:07,47.72,47.72,47.71,47.71,47.7175,400,3
20200102,AVA,11:08,47.67,47.67,47.67,47.67,47.67,300,3
20200102,AVA,11:09,47.62,47.62,47.62,47.62,47.62,100,1
