Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AVD,09:30,19.60,19.60,19.53,19.53,19.58915,1290,3
20200102,AVD,09:41,19.49,19.49,19.49,19.49,19.49,500,4
20200102,AVD,09:45,19.41,19.41,19.40,19.40,19.405,200,2
20200102,AVD,09:49,19.37,19.38,19.35,19.38,19.37333,600,4
20200102,AVD,09:51,19.36,19.40,19.36,19.40,19.38,200,2
20200102,AVD,09:57,19.38,19.38,19.38,19.38,19.38,100,1
20200102,AVD,10:01,19.3550,19.3550,19.28,19.28,19.32375,400,4
20200102,AVD,10:05,19.19,19.19,19.19,19.19,19.19,100,1
20200102,AVD,10:08,19.17,19.17,19.16,19.16,19.16911,1121,9
20200102,AVD,10:12,19.12,19.12,19.11,19.11,19.11303,330,3
20200102,AVD,10:13,19.12,19.13,19.07,19.0950,19.109,500,4
20200102,AVD,10:16,19.10,19.10,19.10,19.10,19.10,100,1
20200102,AVD,10:18,19.12,19.15,19.12,19.15,19.13333,300,3
20200102,AVD,10:20,19.15,19.15,19.15,19.15,19.15,100,1
20200102,AVD,10:21,19.15,19.18,19.15,19.18,19.165,200,2
20200102,AVD,10:22,19.16,19.16,19.15,19.15,19.155,200,2
20200102,AVD,10:36,19.10,19.10,19.10,19.10,19.10,576,3
20200102,AVD,10:37,19.13,19.16,19.13,19.16,19.14789,473,4
20200102,AVD,10:39,19.15,19.15,19.15,19.15,19.15,100,1
20200102,AVD,10:45,19.22,19.22,19.22,19.22,19.22,100,1
20200102,AVD,10:46,19.22,19.22,19.22,19.22,19.22,100,1
20200102,AVD,10:56,19.27,19.28,19.27,19.28,19.27667,300,2
20200102,AVD,11:01,19.26,19.27,19.24,19.25,19.25532,1495,13
20200102,AVD,11:05,19.20,19.20,19.20,19.20,19.20,100,1
20200102,AVD,11:06,19.19,19.25,19.19,19.25,19.22232,609,6
20200102,AVD,11:07,19.25,19.25,19.25,19.25,19.25,400,4
20200102,AVD,11:08,19.25,19.25,19.25,19.25,19.25,100,1
