Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AVP,08:07,5.69,5.69,5.69,5.69,5.69,500,2
20200102,AVP,08:19,5.69,5.69,5.69,5.69,5.69,5000,9
20200102,AVP,08:21,5.66,5.66,5.66,5.66,5.66,3372,6
20200102,AVP,08:22,5.66,5.66,5.66,5.66,5.66,1600,2
20200102,AVP,09:23,5.67,5.67,5.67,5.67,5.67,101499,9
20200102,AVP,09:26,5.67,5.67,5.67,5.67,5.67,1400,1
20200102,AVP,09:30,5.64,5.68,5.64,5.6650,5.64902,32779,47
20200102,AVP,09:31,5.66,5.66,5.63,5.63,5.64333,45052,132
20200102,AVP,09:32,5.63,5.63,5.5950,5.63,5.61553,91204,175
20200102,AVP,09:33,5.63,5.63,5.60,5.60,5.61679,46650,175
20200102,AVP,09:34,5.60,5.61,5.60,5.60,5.60421,25385,85
20200102,AVP,09:35,5.60,5.6050,5.60,5.60,5.60111,900,9
20200102,AVP,09:36,5.60,5.6050,5.60,5.60,5.60331,6200,27
20200102,AVP,09:37,5.61,5.63,5.6050,5.6250,5.61565,105008,377
20200102,AVP,09:38,5.62,5.64,5.62,5.63,5.63366,39162,101
20200102,AVP,09:39,5.63,5.63,5.63,5.63,5.63,1460,6
20200102,AVP,09:40,5.63,5.63,5.61,5.61,5.62678,19061,33
20200102,AVP,09:41,5.61,5.6150,5.6050,5.61,5.6104,18945,81
20200102,AVP,09:42,5.6150,5.63,5.61,5.63,5.62011,53505,326
20200102,AVP,09:43,5.63,5.63,5.62,5.63,5.62834,40163,120
20200102,AVP,09:44,5.63,5.63,5.61,5.61,5.62508,19525,40
20200102,AVP,09:45,5.61,5.6250,5.60,5.60,5.61816,47477,113
20200102,AVP,09:46,5.60,5.61,5.60,5.60,5.60275,16962,73
20200102,AVP,09:47,5.61,5.61,5.60,5.60,5.60906,10629,18
20200102,AVP,09:48,5.60,5.6050,5.60,5.6050,5.60049,12261,22
20200102,AVP,09:49,5.61,5.6150,5.6050,5.6150,5.61021,44742,143
20200102,AVP,09:50,5.6150,5.6250,5.6150,5.6250,5.61998,42266,169
20200102,AVP,09:51,5.6250,5.6350,5.6250,5.6350,5.62988,34856,132
20200102,AVP,09:52,5.6350,5.64,5.63,5.64,5.63848,34653,171
20200102,AVP,09:53,5.6350,5.6350,5.62,5.62,5.62534,43536,136
20200102,AVP,09:54,5.62,5.63,5.6150,5.6250,5.62576,38311,158
20200102,AVP,09:55,5.6250,5.6250,5.6250,5.6250,5.625,200,1
20200102,AVP,09:56,5.63,5.64,5.62,5.64,5.63044,95850,237
20200102,AVP,09:57,5.6350,5.6350,5.63,5.63,5.63083,1800,8
20200102,AVP,09:58,5.63,5.64,5.62,5.63,5.63015,91058,156
20200102,AVP,09:59,5.63,5.63,5.63,5.63,5.63,500,3
20200102,AVP,10:00,5.63,5.63,5.63,5.63,5.63,178,1
20200102,AVP,10:01,5.63,5.63,5.63,5.63,5.63,8006,19
20200102,AVP,10:02,5.63,5.63,5.63,5.63,5.63,5950,11
20200102,AVP,10:03,5.63,5.6350,5.62,5.62,5.6297,43618,106
20200102,AVP,10:04,5.6250,5.6250,5.62,5.6250,5.62046,6592,16
20200102,AVP,10:05,5.62,5.63,5.62,5.63,5.62594,12700,68
20200102,AVP,10:06,5.63,5.63,5.6250,5.63,5.62884,16739,62
20200102,AVP,10:07,5.63,5.63,5.62,5.63,5.62516,3200,10
20200102,AVP,10:08,5.62,5.63,5.62,5.63,5.62546,13434,59
20200102,AVP,10:09,5.6250,5.63,5.62,5.63,5.62722,12263,78
20200102,AVP,10:10,5.63,5.63,5.6250,5.63,5.62852,20336,108
20200102,AVP,10:11,5.63,5.64,5.62,5.64,5.63442,111507,383
20200102,AVP,10:12,5.64,5.6450,5.64,5.64,5.64008,6400,21
20200102,AVP,10:13,5.64,5.64,5.64,5.64,5.64,11400,20
20200102,AVP,10:14,5.64,5.6450,5.64,5.6450,5.64011,9500,19
20200102,AVP,10:15,5.64,5.6450,5.64,5.64,5.64019,5300,10
20200102,AVP,10:16,5.64,5.6450,5.61,5.61,5.63127,49343,95
20200102,AVP,10:17,5.6150,5.6150,5.61,5.61,5.61335,8468,28
20200102,AVP,10:18,5.61,5.61,5.61,5.61,5.61,2500,9
20200102,AVP,10:19,5.61,5.61,5.5950,5.60,5.60397,32701,96
20200102,AVP,10:20,5.60,5.61,5.5950,5.61,5.60383,66908,146
20200102,AVP,10:21,5.6150,5.6150,5.61,5.61,5.61401,506,2
20200102,AVP,10:22,5.61,5.61,5.61,5.61,5.61,200,2
20200102,AVP,10:23,5.61,5.61,5.61,5.61,5.61,900,7
20200102,AVP,10:24,5.61,5.61,5.5850,5.59,5.59588,42658,122
20200102,AVP,10:25,5.5950,5.5950,5.58,5.59,5.58811,31292,82
20200102,AVP,10:26,5.59,5.60,5.59,5.60,5.59188,28178,73
20200102,AVP,10:27,5.60,5.60,5.60,5.60,5.60,4000,3
20200102,AVP,10:28,5.60,5.60,5.58,5.58,5.59142,19460,50
20200102,AVP,10:29,5.58,5.58,5.5750,5.5750,5.57881,8000,36
20200102,AVP,10:30,5.57,5.5750,5.56,5.57,5.56993,43483,100
20200102,AVP,10:31,5.57,5.5750,5.57,5.57,5.57025,2001,12
20200102,AVP,10:32,5.57,5.57,5.5550,5.5550,5.56629,16044,44
20200102,AVP,10:33,5.5550,5.57,5.5550,5.57,5.56049,33433,74
20200102,AVP,10:34,5.56,5.5650,5.56,5.56,5.56167,300,3
20200102,AVP,10:35,5.5650,5.5650,5.55,5.55,5.55828,46957,101
20200102,AVP,10:36,5.55,5.55,5.55,5.55,5.55,20955,67
20200102,AVP,10:37,5.55,5.5550,5.5350,5.5550,5.54512,136142,263
20200102,AVP,10:38,5.55,5.56,5.55,5.5550,5.55881,31900,256
20200102,AVP,10:39,5.55,5.56,5.5450,5.5450,5.55108,20190,64
20200102,AVP,10:40,5.5410,5.5410,5.53,5.53,5.53879,4872,17
20200102,AVP,10:41,5.53,5.53,5.5250,5.53,5.52895,20930,52
20200102,AVP,10:42,5.52,5.5250,5.51,5.52,5.51887,62372,112
20200102,AVP,10:43,5.5150,5.53,5.5150,5.53,5.52535,26500,92
20200102,AVP,10:44,5.53,5.54,5.53,5.54,5.53093,10800,24
20200102,AVP,10:45,5.54,5.5450,5.54,5.54,5.54032,25337,87
20200102,AVP,10:46,5.54,5.54,5.5350,5.54,5.53957,19873,61
20200102,AVP,10:47,5.54,5.54,5.54,5.54,5.54,13320,33
20200102,AVP,10:48,5.54,5.54,5.5250,5.53,5.53461,44802,81
20200102,AVP,10:49,5.53,5.54,5.53,5.53,5.53118,6784,9
20200102,AVP,10:50,5.53,5.5350,5.53,5.5350,5.53455,1100,10
20200102,AVP,10:51,5.53,5.53,5.53,5.53,5.53,100,1
20200102,AVP,10:52,5.5350,5.54,5.53,5.53,5.53146,6500,26
20200102,AVP,10:53,5.53,5.5350,5.53,5.53,5.53007,7100,20
20200102,AVP,10:54,5.53,5.5350,5.53,5.5350,5.53117,6400,24
20200102,AVP,10:55,5.5350,5.54,5.53,5.5350,5.5337,8734,46
20200102,AVP,10:56,5.5350,5.5350,5.52,5.53,5.52674,27603,89
20200102,AVP,10:57,5.5250,5.5250,5.52,5.52,5.52149,10375,33
