Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AVTRpA,09:42,63.88,63.88,63.88,63.88,63.88,379,2
20200102,AVTRpA,09:48,63.71,63.71,63.71,63.71,63.71,109,1
20200102,AVTRpA,10:02,63.72,63.72,63.72,63.72,63.72,100,1
20200102,AVTRpA,10:05,63.73,63.73,63.73,63.73,63.73,100,1
20200102,AVTRpA,10:09,63.73,63.73,63.73,63.73,63.73,100,1
20200102,AVTRpA,10:13,63.66,63.66,63.66,63.66,63.66,483,1
20200102,AVTRpA,10:20,63.44,63.50,63.44,63.50,63.46532,237,2
20200102,AVTRpA,10:46,63.53,63.54,63.53,63.54,63.53547,256,2
20200102,AVTRpA,10:48,63.57,63.68,63.55,63.65,63.61952,8493,44
20200102,AVTRpA,10:55,63.49,63.49,63.49,63.49,63.49,300,3
20200102,AVTRpA,11:34,63.47,63.70,63.47,63.70,63.64786,10591,36
20200102,AVTRpA,12:44,63.81,63.81,63.81,63.81,63.81,352,2
20200102,AVTRpA,13:51,63.81,63.81,63.81,63.81,63.81,112,1
20200102,AVTRpA,14:19,63.84,63.84,63.84,63.84,63.84,100,1
20200102,AVTRpA,14:24,63.79,63.79,63.79,63.79,63.79,100,1
20200102,AVTRpA,14:28,63.85,63.85,63.85,63.85,63.85,200,2
20200102,AVTRpA,14:36,63.74,63.74,63.74,63.74,63.74,100,1
20200102,AVTRpA,14:37,63.73,63.73,63.73,63.73,63.73,900,9
20200102,AVTRpA,14:38,63.74,63.74,63.73,63.73,63.73127,1340,4
20200102,AVTRpA,14:39,63.73,63.73,63.73,63.73,63.73,138,1
20200102,AVTRpA,14:41,63.70,63.70,63.70,63.70,63.70,200,2
20200102,AVTRpA,15:26,64.16,64.16,64.16,64.16,64.16,100,1
20200102,AVTRpA,15:48,64.11,64.11,64.11,64.11,64.11,311,2
