Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AWK,09:30,123.00,123.09,122.98,123.07,123.00256,12681,8
20200102,AWK,09:31,123.0550,123.0550,122.89,123.00,122.93615,1503,15
20200102,AWK,09:32,122.91,122.93,122.85,122.86,122.88555,901,9
20200102,AWK,09:33,122.70,122.79,122.70,122.73,122.746,500,5
20200102,AWK,09:34,122.97,122.97,122.97,122.97,122.97,100,1
20200102,AWK,09:35,123.00,123.16,123.00,123.16,123.05429,700,7
20200102,AWK,09:36,123.12,123.12,123.09,123.09,123.102,500,5
20200102,AWK,09:37,122.99,122.99,122.84,122.84,122.93375,400,4
20200102,AWK,09:38,122.85,122.85,122.85,122.85,122.85,100,1
20200102,AWK,09:39,122.82,122.82,122.76,122.76,122.79,200,2
20200102,AWK,09:40,122.65,122.74,122.37,122.37,122.59858,5247,51
20200102,AWK,09:41,122.49,122.61,122.41,122.61,122.49389,1080,9
20200102,AWK,09:42,122.55,122.58,122.52,122.58,122.545,800,8
20200102,AWK,09:43,122.57,122.58,122.51,122.58,122.56,700,7
20200102,AWK,09:44,122.62,122.62,122.56,122.62,122.596,500,5
20200102,AWK,09:45,122.59,122.59,122.52,122.55,122.55267,1500,14
20200102,AWK,09:46,122.55,122.55,122.52,122.54,122.53105,1900,14
20200102,AWK,09:47,122.57,122.57,122.53,122.53,122.5575,400,4
20200102,AWK,09:48,122.56,122.56,122.49,122.49,122.53029,1625,14
20200102,AWK,09:49,122.50,122.50,122.40,122.4050,122.44875,800,7
20200102,AWK,09:50,122.48,122.51,122.43,122.43,122.4825,800,8
20200102,AWK,09:51,122.37,122.37,122.37,122.37,122.37,100,1
20200102,AWK,09:52,122.35,122.37,122.32,122.37,122.352,500,5
20200102,AWK,09:53,122.36,122.43,122.36,122.41,122.41917,1200,11
20200102,AWK,09:54,122.43,122.45,122.40,122.41,122.42124,1602,16
20200102,AWK,09:55,122.39,122.39,122.36,122.37,122.375,1600,16
20200102,AWK,09:56,122.39,122.48,122.36,122.37,122.42333,1200,12
20200102,AWK,09:57,122.38,122.47,122.38,122.47,122.43667,300,3
20200102,AWK,09:58,122.47,122.47,122.47,122.47,122.47,200,2
20200102,AWK,09:59,122.47,122.47,122.45,122.45,122.465,800,8
20200102,AWK,10:00,122.47,122.53,122.47,122.51,122.51714,700,7
20200102,AWK,10:01,122.54,122.54,122.51,122.54,122.5275,400,4
20200102,AWK,10:02,122.59,122.59,122.59,122.59,122.59,100,1
20200102,AWK,10:03,122.56,122.58,122.56,122.58,122.564,500,5
20200102,AWK,10:04,122.62,122.62,122.60,122.60,122.612,500,5
20200102,AWK,10:05,122.58,122.58,122.57,122.57,122.57667,300,3
20200102,AWK,10:06,122.61,122.61,122.61,122.61,122.61,302,3
20200102,AWK,10:07,122.58,122.64,122.56,122.64,122.59333,600,6
