Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AWP,09:30,6.52,6.52,6.52,6.52,6.52,15438,1
20200102,AWP,09:34,6.50,6.50,6.49,6.49,6.49857,700,7
20200102,AWP,09:35,6.49,6.49,6.49,6.49,6.49,100,1
20200102,AWP,09:39,6.49,6.50,6.48,6.49,6.48802,11362,38
20200102,AWP,09:44,6.49,6.49,6.49,6.49,6.49,200,1
20200102,AWP,09:49,6.49,6.49,6.49,6.49,6.49,112,1
20200102,AWP,09:52,6.49,6.49,6.49,6.49,6.49,150,1
20200102,AWP,09:59,6.49,6.49,6.49,6.49,6.49,150,1
20200102,AWP,10:02,6.49,6.49,6.47,6.47,6.48047,14093,77
20200102,AWP,10:03,6.4750,6.48,6.4750,6.48,6.47976,2112,10
20200102,AWP,10:04,6.48,6.48,6.48,6.48,6.48,2600,11
20200102,AWP,10:05,6.48,6.48,6.48,6.48,6.48,3151,15
20200102,AWP,10:15,6.48,6.48,6.48,6.48,6.48,300,2
20200102,AWP,10:17,6.48,6.48,6.48,6.48,6.48,100,1
20200102,AWP,10:23,6.48,6.48,6.48,6.48,6.48,500,3
20200102,AWP,10:26,6.48,6.48,6.48,6.48,6.48,700,1
20200102,AWP,10:27,6.48,6.48,6.48,6.48,6.48,2315,4
20200102,AWP,10:29,6.47,6.47,6.47,6.47,6.47,300,2
20200102,AWP,10:30,6.47,6.47,6.47,6.47,6.47,300,2
20200102,AWP,10:32,6.47,6.47,6.46,6.46,6.46975,3965,15
20200102,AWP,10:33,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,10:35,6.46,6.46,6.46,6.46,6.46,300,2
20200102,AWP,10:37,6.46,6.46,6.46,6.46,6.46,1300,4
20200102,AWP,10:39,6.46,6.46,6.46,6.46,6.46,1100,6
20200102,AWP,10:40,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,10:41,6.46,6.46,6.46,6.46,6.46,300,2
20200102,AWP,10:43,6.46,6.46,6.46,6.46,6.46,1200,5
20200102,AWP,10:45,6.46,6.46,6.46,6.46,6.46,300,1
20200102,AWP,10:46,6.47,6.47,6.47,6.47,6.47,100,1
20200102,AWP,10:47,6.46,6.46,6.46,6.46,6.46,300,2
20200102,AWP,10:48,6.46,6.46,6.46,6.46,6.46,4950,18
20200102,AWP,10:49,6.4550,6.46,6.4550,6.46,6.45888,4028,22
20200102,AWP,10:52,6.46,6.46,6.46,6.46,6.46,1800,9
20200102,AWP,10:54,6.46,6.46,6.46,6.46,6.46,600,4
20200102,AWP,10:55,6.46,6.46,6.46,6.46,6.46,500,3
20200102,AWP,10:56,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,10:57,6.46,6.46,6.46,6.46,6.46,300,2
20200102,AWP,10:59,6.46,6.4650,6.46,6.4650,6.46167,600,4
20200102,AWP,11:00,6.46,6.46,6.46,6.46,6.46,300,1
20200102,AWP,11:02,6.46,6.46,6.46,6.46,6.46,600,4
20200102,AWP,11:03,6.46,6.46,6.46,6.46,6.46,187,1
20200102,AWP,11:04,6.46,6.46,6.46,6.46,6.46,300,2
20200102,AWP,11:05,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,11:06,6.4650,6.47,6.4650,6.47,6.46563,1600,8
20200102,AWP,11:07,6.46,6.46,6.46,6.46,6.46,300,3
20200102,AWP,11:09,6.46,6.46,6.46,6.46,6.46,200,2
20200102,AWP,11:10,6.46,6.46,6.46,6.46,6.46,300,2
20200102,AWP,11:11,6.46,6.46,6.46,6.46,6.46,100,1
20200102,AWP,11:13,6.46,6.46,6.46,6.46,6.46,400,1
20200102,AWP,11:14,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,11:15,6.46,6.46,6.46,6.46,6.46,100,1
20200102,AWP,11:17,6.46,6.46,6.46,6.46,6.46,300,1
20200102,AWP,11:18,6.4650,6.4650,6.46,6.46,6.46167,300,2
20200102,AWP,11:20,6.46,6.46,6.46,6.46,6.46,800,3
20200102,AWP,11:21,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,11:22,6.46,6.46,6.46,6.46,6.46,100,1
20200102,AWP,11:23,6.46,6.46,6.46,6.46,6.46,100,1
20200102,AWP,11:25,6.46,6.46,6.46,6.46,6.46,250,2
20200102,AWP,11:28,6.46,6.46,6.46,6.46,6.46,300,2
20200102,AWP,11:29,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,11:30,6.46,6.46,6.46,6.46,6.46,600,2
20200102,AWP,11:32,6.46,6.46,6.46,6.46,6.46,300,2
20200102,AWP,11:34,6.46,6.46,6.46,6.46,6.46,800,3
20200102,AWP,11:35,6.46,6.46,6.46,6.46,6.46,595,3
20200102,AWP,11:36,6.46,6.46,6.46,6.46,6.46,100,1
20200102,AWP,11:37,6.46,6.46,6.46,6.46,6.46,200,2
20200102,AWP,11:39,6.46,6.46,6.46,6.46,6.46,300,2
20200102,AWP,11:40,6.46,6.4650,6.46,6.4650,6.46389,900,5
20200102,AWP,11:42,6.46,6.46,6.46,6.46,6.46,400,2
20200102,AWP,11:44,6.46,6.46,6.46,6.46,6.46,300,1
20200102,AWP,11:46,6.46,6.46,6.46,6.46,6.46,300,2
20200102,AWP,11:47,6.46,6.46,6.46,6.46,6.46,100,1
20200102,AWP,11:49,6.46,6.46,6.46,6.46,6.46,200,2
20200102,AWP,11:52,6.46,6.46,6.46,6.46,6.46,400,2
20200102,AWP,11:53,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,11:56,6.46,6.46,6.46,6.46,6.46,300,2
20200102,AWP,11:57,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,12:00,6.46,6.46,6.46,6.46,6.46,400,2
20200102,AWP,12:03,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,12:06,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,12:09,6.46,6.46,6.46,6.46,6.46,399,2
20200102,AWP,12:13,6.46,6.46,6.46,6.46,6.46,2077,5
20200102,AWP,12:15,6.45,6.45,6.45,6.45,6.45,300,2
20200102,AWP,12:16,6.4550,6.46,6.45,6.45,6.455,800,8
20200102,AWP,12:18,6.4550,6.4550,6.4550,6.4550,6.455,600,1
20200102,AWP,12:19,6.4550,6.4550,6.4550,6.4550,6.455,300,1
20200102,AWP,12:21,6.45,6.45,6.45,6.45,6.45,300,2
20200102,AWP,12:22,6.45,6.45,6.45,6.45,6.45,100,1
20200102,AWP,12:23,6.4550,6.4550,6.4550,6.4550,6.455,400,3
20200102,AWP,12:24,6.46,6.46,6.46,6.46,6.46,2150,14
20200102,AWP,12:26,6.4550,6.46,6.45,6.46,6.45583,600,4
20200102,AWP,12:27,6.46,6.46,6.46,6.46,6.46,155,1
20200102,AWP,12:30,6.46,6.46,6.46,6.46,6.46,300,2
20200102,AWP,12:31,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,12:32,6.46,6.46,6.46,6.46,6.46,200,2
20200102,AWP,12:34,6.46,6.46,6.46,6.46,6.46,350,2
20200102,AWP,12:35,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,12:37,6.46,6.46,6.46,6.46,6.46,2200,7
20200102,AWP,12:38,6.45,6.45,6.45,6.45,6.45,412,3
20200102,AWP,12:39,6.4550,6.46,6.4550,6.46,6.45846,1300,11
20200102,AWP,12:40,6.46,6.46,6.46,6.46,6.46,1900,11
20200102,AWP,12:45,6.46,6.46,6.46,6.46,6.46,1162,7
20200102,AWP,12:46,6.46,6.46,6.46,6.46,6.46,200,2
20200102,AWP,12:47,6.46,6.46,6.46,6.46,6.46,300,2
20200102,AWP,12:50,6.46,6.46,6.46,6.46,6.46,300,2
20200102,AWP,12:52,6.46,6.46,6.46,6.46,6.46,2211,7
20200102,AWP,12:54,6.4550,6.46,6.4550,6.46,6.45658,2056,9
20200102,AWP,12:55,6.4550,6.46,6.45,6.46,6.457,500,5
20200102,AWP,12:56,6.46,6.46,6.46,6.46,6.46,200,2
20200102,AWP,12:59,6.4550,6.4550,6.45,6.45,6.4525,200,2
20200102,AWP,13:00,6.45,6.45,6.45,6.45,6.45,100,1
20200102,AWP,13:01,6.4550,6.4550,6.4550,6.4550,6.455,100,1
20200102,AWP,13:02,6.4550,6.4550,6.45,6.45,6.4525,200,2
20200102,AWP,13:03,6.46,6.46,6.46,6.46,6.46,750,5
20200102,AWP,13:04,6.4550,6.4550,6.4550,6.4550,6.455,200,2
20200102,AWP,13:05,6.46,6.46,6.46,6.46,6.46,100,1
20200102,AWP,13:06,6.4550,6.47,6.4550,6.47,6.46096,2599,15
20200102,AWP,13:09,6.46,6.46,6.46,6.46,6.46,524,3
20200102,AWP,13:10,6.46,6.46,6.46,6.46,6.46,100,1
20200102,AWP,13:12,6.46,6.46,6.46,6.46,6.46,450,3
20200102,AWP,13:14,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,13:16,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,13:18,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,13:19,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,13:21,6.46,6.46,6.46,6.46,6.46,200,2
20200102,AWP,13:23,6.46,6.46,6.46,6.46,6.46,200,2
20200102,AWP,13:24,6.4690,6.4690,6.4690,6.4690,6.469,100,1
20200102,AWP,13:25,6.46,6.46,6.46,6.46,6.46,300,2
20200102,AWP,13:29,6.46,6.46,6.46,6.46,6.46,400,2
20200102,AWP,13:30,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,13:32,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,13:35,6.46,6.47,6.46,6.47,6.46877,5124,27
20200102,AWP,13:37,6.47,6.47,6.47,6.47,6.47,3854,10
20200102,AWP,13:38,6.4650,6.47,6.4650,6.47,6.46957,1162,9
20200102,AWP,13:44,6.4650,6.4650,6.46,6.46,6.4625,400,3
20200102,AWP,13:47,6.46,6.46,6.46,6.46,6.46,400,2
20200102,AWP,13:48,6.4650,6.4650,6.4650,6.4650,6.465,300,2
20200102,AWP,13:50,6.47,6.47,6.4650,6.4650,6.46728,735,5
20200102,AWP,13:53,6.46,6.46,6.46,6.46,6.46,300,2
20200102,AWP,13:55,6.46,6.46,6.46,6.46,6.46,400,2
20200102,AWP,13:57,6.4650,6.4650,6.4650,6.4650,6.465,100,1
20200102,AWP,13:58,6.46,6.46,6.46,6.46,6.46,300,2
20200102,AWP,14:01,6.47,6.47,6.46,6.46,6.46333,600,3
20200102,AWP,14:03,6.46,6.46,6.46,6.46,6.46,500,2
20200102,AWP,14:04,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,14:06,6.46,6.46,6.46,6.46,6.46,800,3
20200102,AWP,14:08,6.46,6.46,6.46,6.46,6.46,1400,8
20200102,AWP,14:09,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,14:11,6.46,6.46,6.46,6.46,6.46,1105,9
20200102,AWP,14:12,6.4650,6.4650,6.4650,6.4650,6.465,600,2
20200102,AWP,14:13,6.46,6.46,6.46,6.46,6.46,500,3
20200102,AWP,14:15,6.46,6.46,6.46,6.46,6.46,500,4
20200102,AWP,14:16,6.46,6.46,6.46,6.46,6.46,100,1
20200102,AWP,14:18,6.46,6.46,6.46,6.46,6.46,500,1
20200102,AWP,14:21,6.46,6.46,6.46,6.46,6.46,400,1
20200102,AWP,14:23,6.46,6.46,6.46,6.46,6.46,400,2
20200102,AWP,14:26,6.46,6.46,6.46,6.46,6.46,400,2
20200102,AWP,14:27,6.46,6.46,6.46,6.46,6.46,200,1
20200102,AWP,14:28,6.46,6.4650,6.46,6.4650,6.46125,400,3
20200102,AWP,14:31,6.46,6.4650,6.46,6.4650,6.46083,600,4
20200102,AWP,14:33,6.46,6.4650,6.46,6.4650,6.46083,600,4
20200102,AWP,14:34,6.4650,6.4650,6.46,6.46,6.46167,300,2
20200102,AWP,14:36,6.46,6.4650,6.46,6.4650,6.4625,400,4
20200102,AWP,14:38,6.46,6.4650,6.46,6.4650,6.461,500,3
20200102,AWP,14:39,6.46,6.4650,6.46,6.4650,6.462,500,4
20200102,AWP,14:40,6.4650,6.4650,6.4650,6.4650,6.465,500,5
20200102,AWP,14:42,6.46,6.46,6.46,6.46,6.46,400,2
20200102,AWP,14:43,6.4650,6.47,6.46,6.47,6.46813,2142,16
20200102,AWP,14:44,6.4650,6.4650,6.46,6.46,6.4625,400,4
20200102,AWP,14:47,6.46,6.46,6.46,6.46,6.46,500,3
20200102,AWP,14:49,6.46,6.4650,6.46,6.4650,6.46083,600,3
20200102,AWP,14:51,6.4650,6.4650,6.4650,6.4650,6.465,900,4
20200102,AWP,14:52,6.46,6.46,6.46,6.46,6.46,500,1
20200102,AWP,14:54,6.46,6.46,6.46,6.46,6.46,400,2
20200102,AWP,14:55,6.46,6.4650,6.46,6.4650,6.461,500,4
20200102,AWP,14:57,6.46,6.46,6.46,6.46,6.46,750,4
20200102,AWP,14:58,6.46,6.46,6.46,6.46,6.46,150,1
20200102,AWP,15:00,6.46,6.4650,6.46,6.4650,6.46143,1050,6
20200102,AWP,15:02,6.46,6.46,6.46,6.46,6.46,500,2
20200102,AWP,15:04,6.4650,6.4650,6.4650,6.4650,6.465,200,1
20200102,AWP,15:06,6.4650,6.48,6.4650,6.48,6.47162,9857,36
20200102,AWP,15:09,6.4750,6.4750,6.4750,6.4750,6.475,100,1
20200102,AWP,15:10,6.47,6.47,6.47,6.47,6.47,200,1
20200102,AWP,15:11,6.47,6.47,6.47,6.47,6.47,169,1
20200102,AWP,15:12,6.47,6.48,6.47,6.48,6.47606,1238,9
20200102,AWP,15:13,6.47,6.47,6.47,6.47,6.47,100,1
20200102,AWP,15:14,6.47,6.47,6.47,6.47,6.47,200,1
20200102,AWP,15:15,6.47,6.47,6.47,6.47,6.47,369,3
20200102,AWP,15:16,6.47,6.4750,6.47,6.47,6.474,1500,4
20200102,AWP,15:17,6.47,6.47,6.47,6.47,6.47,200,1
20200102,AWP,15:18,6.47,6.47,6.47,6.47,6.47,1019,6
20200102,AWP,15:19,6.47,6.47,6.47,6.47,6.47,1250,7
20200102,AWP,15:20,6.47,6.47,6.47,6.47,6.47,600,4
20200102,AWP,15:21,6.47,6.47,6.47,6.47,6.47,400,2
20200102,AWP,15:22,6.47,6.47,6.47,6.47,6.47,100,1
20200102,AWP,15:23,6.47,6.47,6.47,6.47,6.47,300,3
20200102,AWP,15:24,6.47,6.47,6.47,6.47,6.47,800,7
20200102,AWP,15:25,6.47,6.47,6.47,6.47,6.47,200,1
20200102,AWP,15:26,6.47,6.47,6.47,6.47,6.47,200,1
20200102,AWP,15:27,6.47,6.47,6.47,6.47,6.47,400,4
20200102,AWP,15:28,6.47,6.47,6.47,6.47,6.47,300,2
20200102,AWP,15:29,6.47,6.47,6.47,6.47,6.47,400,3
20200102,AWP,15:30,6.47,6.47,6.47,6.47,6.47,400,2
20200102,AWP,15:31,6.47,6.47,6.47,6.47,6.47,300,3
20200102,AWP,15:32,6.47,6.47,6.47,6.47,6.47,300,2
20200102,AWP,15:33,6.47,6.47,6.47,6.47,6.47,400,4
20200102,AWP,15:34,6.47,6.47,6.47,6.47,6.47,200,1
20200102,AWP,15:35,6.47,6.47,6.47,6.47,6.47,500,3
20200102,AWP,15:36,6.47,6.47,6.47,6.47,6.47,200,1
20200102,AWP,15:37,6.47,6.4750,6.47,6.47,6.4725,1200,7
20200102,AWP,15:38,6.47,6.47,6.47,6.47,6.47,300,2
20200102,AWP,15:39,6.47,6.47,6.47,6.47,6.47,300,2
20200102,AWP,15:40,6.47,6.47,6.47,6.47,6.47,200,1
20200102,AWP,15:41,6.47,6.47,6.47,6.47,6.47,400,3
20200102,AWP,15:42,6.47,6.47,6.47,6.47,6.47,300,2
20200102,AWP,15:43,6.4750,6.48,6.47,6.48,6.4793,10193,51
20200102,AWP,15:44,6.4750,6.4750,6.47,6.47,6.47409,1100,10
20200102,AWP,15:45,6.47,6.47,6.47,6.47,6.47,200,1
20200102,AWP,15:46,6.48,6.48,6.47,6.47,6.47667,300,3
20200102,AWP,15:47,6.47,6.47,6.47,6.47,6.47,500,2
20200102,AWP,15:48,6.47,6.47,6.47,6.47,6.47,300,2
20200102,AWP,15:49,6.47,6.4750,6.47,6.47,6.47192,1300,10
20200102,AWP,15:50,6.48,6.48,6.48,6.48,6.48,2000,16
20200102,AWP,15:51,6.47,6.48,6.47,6.48,6.475,200,2
20200102,AWP,15:52,6.47,6.47,6.47,6.47,6.47,200,2
20200102,AWP,15:54,6.47,6.47,6.47,6.47,6.47,100,1
20200102,AWP,15:55,6.4750,6.4750,6.47,6.47,6.47465,1444,3
20200102,AWP,15:56,6.47,6.47,6.47,6.47,6.47,500,3
20200102,AWP,15:57,6.47,6.47,6.47,6.47,6.47,300,3
20200102,AWP,15:58,6.47,6.47,6.47,6.47,6.47,200,1
20200102,AWP,15:59,6.48,6.49,6.47,6.49,6.48083,5345,23
20200102,AWP,16:00,6.48,6.48,6.48,6.48,6.48,3795,1
