Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AXSM,07:00,104.00,104.00,104.00,104.00,104.00,400,1
20200102,AXSM,08:19,104.75,104.75,104.75,104.75,104.75,100,1
20200102,AXSM,09:06,104.50,104.50,104.50,104.50,104.50,643,2
20200102,AXSM,09:30,104.69,104.75,104.30,104.30,104.65981,10236,19
20200102,AXSM,09:31,104.30,104.35,103.26,103.26,103.83588,6252,46
20200102,AXSM,09:33,103.34,103.34,102.50,102.80,102.88327,4735,34
20200102,AXSM,09:34,102.78,103.03,102.78,103.03,102.91794,1468,7
20200102,AXSM,09:35,102.77,103.00,102.23,102.23,102.73574,1863,14
20200102,AXSM,09:36,102.49,102.6350,101.57,102.00,102.13683,6708,26
20200102,AXSM,09:37,102.49,102.50,102.46,102.50,102.49544,1317,9
20200102,AXSM,09:38,102.50,102.60,101.11,101.11,101.79925,6350,40
20200102,AXSM,09:39,101.64,101.69,100.56,101.04,101.11631,3966,26
20200102,AXSM,09:40,101.02,101.02,100.44,100.47,100.72763,3247,23
20200102,AXSM,09:41,100.75,100.97,100.40,100.40,100.5461,2156,15
20200102,AXSM,09:42,100.55,100.55,99.03,100.00,99.81232,6433,38
20200102,AXSM,09:43,99.60,100.03,99.37,100.03,99.6382,2644,20
20200102,AXSM,09:44,99.95,99.95,99.50,99.81,99.59479,2103,16
20200102,AXSM,09:45,99.66,99.66,99.47,99.5950,99.597,1500,5
20200102,AXSM,09:46,99.57,99.57,99.57,99.57,99.57,100,1
20200102,AXSM,09:47,99.74,99.99,99.52,99.71,99.81347,3640,31
20200102,AXSM,09:48,99.98,100.01,99.31,99.31,99.61169,5280,37
20200102,AXSM,09:49,99.48,99.49,98.52,98.98,99.03232,22139,158
20200102,AXSM,09:50,99.01,99.52,98.52,98.53,99.00232,3979,24
20200102,AXSM,09:51,99.24,99.67,99.01,99.67,99.30,1885,10
20200102,AXSM,09:52,99.62,100.00,99.58,99.81,99.77503,5513,38
20200102,AXSM,09:53,100.04,100.16,99.85,100.0150,99.9812,4313,37
20200102,AXSM,09:54,99.86,100.13,99.82,100.13,99.93476,1672,13
20200102,AXSM,09:55,100.00,100.30,99.90,100.27,100.08661,1516,13
20200102,AXSM,09:56,100.37,100.42,100.37,100.42,100.407,400,3
20200102,AXSM,09:57,100.10,100.73,100.10,100.5050,100.42999,2108,19
20200102,AXSM,09:58,100.42,100.60,100.18,100.24,100.3269,1450,14
20200102,AXSM,09:59,100.24,101.00,100.04,101.00,100.72412,4307,37
20200102,AXSM,10:00,100.96,101.18,100.48,100.48,100.88557,7781,62
20200102,AXSM,10:01,100.51,100.51,100.50,100.50,100.50116,860,2
20200102,AXSM,10:02,100.26,100.4050,99.93,99.93,100.15973,1847,16
20200102,AXSM,10:03,100.09,100.35,99.95,100.33,100.18973,2923,19
20200102,AXSM,10:04,100.32,101.00,100.32,100.81,100.68574,3714,21
20200102,AXSM,10:05,100.68,100.68,100.59,100.59,100.63667,300,3
20200102,AXSM,10:06,100.66,100.77,100.39,100.77,100.52265,490,4
20200102,AXSM,10:07,100.76,100.76,100.76,100.76,100.76,100,1
20200102,AXSM,10:08,100.48,100.98,100.38,100.71,100.81336,4077,39
20200102,AXSM,10:09,100.85,101.00,100.67,101.00,100.94692,1865,10
20200102,AXSM,10:10,101.00,101.05,101.00,101.05,101.00739,1354,5
20200102,AXSM,10:11,101.01,101.01,100.75,100.75,100.86,500,5
20200102,AXSM,10:12,100.87,100.87,100.73,100.73,100.78,560,4
20200102,AXSM,10:13,100.8150,100.92,100.66,100.8250,100.79084,545,5
20200102,AXSM,10:14,100.77,100.77,100.50,100.60,100.59655,885,8
20200102,AXSM,10:15,100.60,100.60,100.60,100.60,100.60,100,1
20200102,AXSM,10:16,100.61,100.6450,100.37,100.55,100.49545,1443,10
20200102,AXSM,10:18,100.55,100.55,100.37,100.47,100.48142,2077,14
20200102,AXSM,10:19,100.5350,100.5350,100.45,100.4650,100.48417,600,4
20200102,AXSM,10:20,100.37,100.37,100.37,100.37,100.37,100,1
20200102,AXSM,10:21,100.50,100.50,100.50,100.50,100.50,444,3
20200102,AXSM,10:22,100.63,100.63,100.63,100.63,100.63,100,1
20200102,AXSM,10:23,100.75,100.75,100.75,100.75,100.75,100,1
20200102,AXSM,10:24,100.4850,100.58,100.4850,100.57,100.51071,700,4
20200102,AXSM,10:25,100.68,100.68,100.68,100.68,100.68,100,1
20200102,AXSM,10:26,100.57,100.57,100.57,100.57,100.57,200,1
20200102,AXSM,10:27,100.57,100.84,100.47,100.84,100.6341,2808,15
20200102,AXSM,10:28,100.7450,101.03,100.7450,101.01,100.89683,3012,11
20200102,AXSM,10:29,101.02,101.02,100.88,100.9850,100.95,350,3
20200102,AXSM,10:30,100.77,100.77,100.37,100.55,100.51909,1650,16
20200102,AXSM,10:31,100.81,101.00,100.74,101.00,100.92405,5455,16
20200102,AXSM,10:32,101.02,101.02,100.7650,100.7650,100.8925,200,2
20200102,AXSM,10:33,100.60,100.60,100.60,100.60,100.60,100,1
20200102,AXSM,10:34,100.65,100.65,100.65,100.65,100.65,300,1
20200102,AXSM,10:35,100.65,100.65,100.65,100.65,100.65,200,2
20200102,AXSM,10:36,100.59,100.59,100.37,100.37,100.42783,2300,23
20200102,AXSM,10:37,100.45,100.50,100.21,100.21,100.38851,549,4
20200102,AXSM,10:38,100.35,100.35,100.13,100.13,100.31,550,2
20200102,AXSM,10:39,100.1750,100.32,100.1750,100.32,100.25375,400,4
20200102,AXSM,10:40,100.22,100.22,99.59,99.59,99.84447,2541,20
20200102,AXSM,10:41,99.7550,100.00,99.7550,100.00,99.96389,900,9
20200102,AXSM,10:42,99.90,99.90,99.76,99.80,99.8075,800,4
20200102,AXSM,10:43,99.7510,99.8550,99.74,99.74,99.77425,400,3
20200102,AXSM,10:44,99.62,99.8950,99.62,99.84,99.81188,800,7
20200102,AXSM,10:45,99.9850,100.12,99.9850,100.0850,100.09596,2099,5
20200102,AXSM,10:46,99.78,99.78,99.78,99.78,99.78,200,2
20200102,AXSM,10:47,99.80,99.89,99.72,99.82,99.80503,597,5
20200102,AXSM,10:48,99.67,99.67,99.67,99.67,99.67,100,1
20200102,AXSM,10:49,99.79,99.93,99.79,99.93,99.835,400,4
20200102,AXSM,10:50,99.89,100.03,99.74,99.74,99.83937,946,9
20200102,AXSM,10:51,99.75,99.8350,99.73,99.73,99.77167,300,3
20200102,AXSM,10:52,99.70,99.71,99.70,99.71,99.705,200,2
20200102,AXSM,10:53,99.71,99.71,99.67,99.69,99.68933,871,7
20200102,AXSM,10:54,99.67,99.67,99.67,99.67,99.67,1174,3
20200102,AXSM,10:55,99.70,99.70,99.70,99.70,99.70,100,1
20200102,AXSM,10:56,99.7450,99.7450,99.67,99.74,99.70625,400,4
20200102,AXSM,10:57,99.73,99.81,99.73,99.81,99.78333,300,3
20200102,AXSM,10:58,99.71,100.0350,99.71,99.83,99.92831,2354,20
20200102,AXSM,10:59,99.9150,99.9150,99.79,99.79,99.83333,450,4
20200102,AXSM,11:00,99.90,100.13,99.84,100.08,100.02222,900,9
20200102,AXSM,11:01,100.07,100.20,100.07,100.20,100.105,400,4
20200102,AXSM,11:02,100.17,100.17,100.17,100.17,100.17,100,1
20200102,AXSM,11:03,100.28,100.44,100.28,100.41,100.359,1000,9
20200102,AXSM,11:04,100.44,100.56,100.44,100.56,100.464,500,4
20200102,AXSM,11:05,100.47,100.55,100.42,100.44,100.46064,533,5
20200102,AXSM,11:06,100.49,100.49,100.3650,100.37,100.44643,700,6
20200102,AXSM,11:07,100.30,100.32,100.30,100.32,100.30667,300,3
20200102,AXSM,11:08,100.24,100.24,100.00,100.00,100.07179,1667,14
20200102,AXSM,11:09,100.00,100.16,100.00,100.15,100.10167,600,6
20200102,AXSM,11:10,100.20,100.20,100.20,100.20,100.20,200,2
20200102,AXSM,11:11,100.03,100.03,100.03,100.03,100.03,100,1
20200102,AXSM,11:12,100.16,100.16,100.02,100.02,100.1225,400,4
20200102,AXSM,11:13,100.00,100.01,99.97,100.01,100.00242,4129,10
20200102,AXSM,11:14,100.01,100.01,99.90,99.99,99.9529,1107,7
20200102,AXSM,11:15,100.10,100.31,100.05,100.05,100.18829,1356,10
20200102,AXSM,11:16,100.06,100.23,100.06,100.06,100.13286,350,3
20200102,AXSM,11:17,100.14,100.14,100.14,100.14,100.14,100,1
20200102,AXSM,11:18,100.29,100.29,100.29,100.29,100.29,100,1
20200102,AXSM,11:19,100.16,100.16,100.05,100.0850,100.10643,700,7
20200102,AXSM,11:20,100.01,100.06,100.00,100.06,100.01116,627,5
20200102,AXSM,11:21,100.17,100.17,100.17,100.17,100.17,100,1
20200102,AXSM,11:22,100.23,100.23,99.95,100.09,100.04494,2148,20
20200102,AXSM,11:23,100.16,100.26,99.97,100.21,100.16731,1504,12
20200102,AXSM,11:24,100.29,100.39,100.29,100.35,100.30778,900,8
20200102,AXSM,11:25,100.19,100.19,99.95,100.01,100.03955,976,7
20200102,AXSM,11:26,100.00,100.00,99.89,99.89,99.95891,1582,7
20200102,AXSM,11:27,100.00,100.00,99.89,99.89,99.945,200,2
20200102,AXSM,11:29,99.80,99.86,99.80,99.86,99.82013,301,2
20200102,AXSM,11:30,99.81,99.93,99.81,99.93,99.87,200,2
20200102,AXSM,11:31,99.94,99.9650,99.88,99.88,99.93088,796,6
20200102,AXSM,11:32,99.9250,99.9250,99.84,99.90,99.87323,1704,13
20200102,AXSM,11:33,99.84,100.04,99.84,100.01,99.95452,2304,16
20200102,AXSM,11:34,100.0650,100.0650,100.06,100.06,100.0625,200,2
20200102,AXSM,11:35,100.00,100.00,100.00,100.00,100.00,100,1
20200102,AXSM,11:36,99.99,99.99,99.83,99.86,99.93779,3007,20
20200102,AXSM,11:38,99.82,100.00,99.82,100.00,99.93875,400,4
20200102,AXSM,11:39,100.00,100.45,100.00,100.45,100.1574,5889,12
20200102,AXSM,11:40,100.38,100.38,100.05,100.05,100.1775,1200,12
20200102,AXSM,11:41,100.04,100.04,99.76,99.85,99.83798,1198,10
20200102,AXSM,11:42,99.95,99.95,99.75,99.75,99.77881,1076,6
20200102,AXSM,11:43,99.7750,99.8950,99.68,99.8950,99.77643,700,6
20200102,AXSM,11:44,99.92,100.04,99.92,100.04,99.97,400,4
20200102,AXSM,11:45,99.99,99.99,99.83,99.83,99.9125,400,4
20200102,AXSM,11:46,99.80,99.85,99.69,99.69,99.78655,1048,7
20200102,AXSM,11:48,99.77,99.77,99.77,99.77,99.77,200,2
20200102,AXSM,11:49,99.93,99.94,99.93,99.93,99.93333,300,3
20200102,AXSM,11:50,99.85,99.90,99.84,99.85,99.85333,1200,10
20200102,AXSM,11:51,99.88,99.92,99.88,99.92,99.90667,300,3
20200102,AXSM,11:52,100.03,100.03,100.03,100.03,100.03,150,1
20200102,AXSM,11:53,100.00,100.05,100.00,100.05,100.02421,413,4
20200102,AXSM,11:54,100.04,100.04,100.04,100.04,100.04,100,1
20200102,AXSM,11:55,100.08,100.10,100.03,100.03,100.0775,400,3
20200102,AXSM,11:56,100.00,100.00,100.00,100.00,100.00,400,4
20200102,AXSM,11:57,99.95,100.08,99.95,100.01,100.01727,550,5
20200102,AXSM,11:58,100.01,100.1250,99.99,100.1250,100.01417,5183,17
20200102,AXSM,11:59,100.22,100.39,100.13,100.15,100.30661,7462,27
20200102,AXSM,12:00,100.03,100.03,100.03,100.03,100.03,100,1
20200102,AXSM,12:01,100.01,100.12,100.01,100.12,100.076,250,2
20200102,AXSM,12:02,100.09,100.14,100.09,100.14,100.12333,300,3
20200102,AXSM,12:04,100.20,100.20,100.20,100.20,100.20,100,1
20200102,AXSM,12:05,100.12,100.12,100.12,100.12,100.12,200,2
20200102,AXSM,12:06,100.12,100.12,99.93,100.00,100.00744,1828,9
20200102,AXSM,12:07,100.01,100.09,99.99,100.00,100.01557,1496,10
20200102,AXSM,12:08,100.00,100.08,99.89,99.91,99.92733,2404,23
20200102,AXSM,12:09,99.90,100.32,99.90,100.26,100.12285,3401,20
20200102,AXSM,12:10,100.30,100.30,100.19,100.19,100.26919,357,3
20200102,AXSM,12:11,100.41,100.42,100.41,100.42,100.4175,400,2
20200102,AXSM,12:12,100.50,100.54,100.33,100.33,100.465,400,4
20200102,AXSM,12:13,100.33,100.36,100.24,100.35,100.302,1000,10
20200102,AXSM,12:14,100.49,100.5750,100.44,100.46,100.48751,1589,13
20200102,AXSM,12:15,100.42,100.53,100.42,100.53,100.46333,300,3
20200102,AXSM,12:17,100.50,100.58,100.50,100.50,100.51026,1559,10
20200102,AXSM,12:18,100.58,100.76,100.58,100.75,100.65503,895,7
20200102,AXSM,12:19,100.75,100.80,100.74,100.80,100.75935,428,3
20200102,AXSM,12:20,100.72,100.72,100.54,100.54,100.66909,550,5
20200102,AXSM,12:21,100.79,100.80,100.79,100.80,100.79365,548,5
20200102,AXSM,12:22,100.57,100.72,100.57,100.64,100.66111,900,9
20200102,AXSM,12:23,100.63,100.88,100.46,100.5150,100.64713,6302,29
20200102,AXSM,12:24,100.5050,100.5050,100.27,100.27,100.36278,454,4
20200102,AXSM,12:25,100.45,100.45,100.45,100.45,100.45,300,3
20200102,AXSM,12:26,100.39,100.46,100.39,100.46,100.43,300,3
20200102,AXSM,12:27,100.48,100.56,100.29,100.50,100.46429,700,7
20200102,AXSM,12:29,100.31,100.53,100.27,100.51,100.44694,1800,18
20200102,AXSM,12:30,100.55,100.60,100.53,100.53,100.568,1000,9
20200102,AXSM,12:31,100.62,100.66,100.37,100.37,100.492,500,5
20200102,AXSM,12:32,100.51,100.51,100.28,100.28,100.40667,600,6
20200102,AXSM,12:33,100.26,100.31,100.13,100.13,100.2455,1000,10
20200102,AXSM,12:34,100.06,100.06,99.94,99.94,100.002,500,5
20200102,AXSM,12:35,99.91,99.99,99.91,99.99,99.96333,300,3
20200102,AXSM,12:36,99.90,99.99,99.45,99.90,99.61721,9805,85
20200102,AXSM,12:38,99.79,100.00,99.79,100.00,99.90538,650,6
20200102,AXSM,12:39,100.00,100.0950,100.00,100.0950,100.0475,200,2
20200102,AXSM,12:40,100.00,100.00,99.95,99.98,99.98108,370,3
20200102,AXSM,12:43,100.20,100.20,99.97,99.97,100.04667,300,3
20200102,AXSM,12:44,99.85,100.00,99.85,100.00,99.93,1350,13
20200102,AXSM,12:45,99.93,99.93,99.93,99.93,99.93,100,1
20200102,AXSM,12:46,100.00,100.00,100.00,100.00,100.00,100,1
20200102,AXSM,12:47,99.91,100.00,99.86,99.8950,99.91625,400,4
20200102,AXSM,12:48,100.14,100.15,100.14,100.15,100.145,200,2
20200102,AXSM,12:49,100.25,100.25,100.11,100.11,100.17714,700,7
20200102,AXSM,12:51,100.05,100.05,100.05,100.05,100.05,192,1
20200102,AXSM,12:52,100.19,100.20,100.10,100.20,100.13479,5318,31
20200102,AXSM,12:53,100.20,100.25,100.15,100.20,100.19857,1400,5
20200102,AXSM,12:54,100.13,100.13,100.0150,100.10,100.06237,2332,22
20200102,AXSM,12:55,100.22,100.22,100.14,100.14,100.18,200,2
20200102,AXSM,12:56,100.10,100.13,100.03,100.13,100.08667,300,3
20200102,AXSM,12:58,100.20,100.20,100.20,100.20,100.20,200,2
20200102,AXSM,12:59,100.27,100.27,100.19,100.19,100.23,200,2
20200102,AXSM,13:02,99.99,99.99,99.99,99.99,99.99,100,1
20200102,AXSM,13:03,99.95,99.95,99.94,99.94,99.94485,206,2
20200102,AXSM,13:04,99.97,100.00,99.97,100.00,99.985,200,2
20200102,AXSM,13:05,100.00,100.00,100.00,100.00,100.00,100,1
20200102,AXSM,13:06,99.90,99.90,99.90,99.90,99.90,200,2
20200102,AXSM,13:07,100.10,100.10,100.10,100.10,100.10,200,2
20200102,AXSM,13:09,100.2950,100.2950,100.2950,100.2950,100.295,100,1
20200102,AXSM,13:10,100.36,100.36,100.20,100.20,100.28,200,2
20200102,AXSM,13:11,100.10,100.29,100.00,100.29,100.08762,1443,10
20200102,AXSM,13:12,100.20,100.20,100.19,100.19,100.1964,1093,3
20200102,AXSM,13:13,100.25,100.45,100.25,100.45,100.3238,271,2
20200102,AXSM,13:15,100.35,100.35,100.35,100.35,100.35,100,1
20200102,AXSM,13:16,100.30,100.30,100.30,100.30,100.30,100,1
20200102,AXSM,13:17,100.44,100.44,100.37,100.37,100.405,200,2
20200102,AXSM,13:18,100.50,100.50,100.50,100.50,100.50,217,2
20200102,AXSM,13:19,100.58,100.58,100.58,100.58,100.58,100,1
20200102,AXSM,13:20,100.5850,100.70,100.5850,100.70,100.6425,200,2
20200102,AXSM,13:21,100.55,100.55,100.55,100.55,100.55,100,1
20200102,AXSM,13:22,100.74,100.75,100.60,100.60,100.7323,904,5
20200102,AXSM,13:25,100.86,100.86,100.74,100.74,100.77,1400,5
20200102,AXSM,13:27,100.73,100.73,100.64,100.64,100.685,200,2
20200102,AXSM,13:29,100.73,100.98,100.73,100.84,100.87333,600,6
20200102,AXSM,13:30,100.97,100.97,100.97,100.97,100.97,100,1
20200102,AXSM,13:31,100.83,100.83,100.82,100.82,100.826,250,2
20200102,AXSM,13:32,100.79,100.79,100.66,100.66,100.72643,1400,13
