Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AY,09:30,26.40,26.69,26.40,26.53,26.4376,34050,27
20200102,AY,09:31,26.48,26.48,26.44,26.44,26.47082,871,6
20200102,AY,09:33,26.38,26.38,26.34,26.35,26.35476,1050,10
20200102,AY,09:35,26.36,26.3750,26.33,26.3750,26.33708,1200,5
20200102,AY,09:36,26.40,26.40,26.40,26.40,26.40,117,1
20200102,AY,09:37,26.4050,26.4390,26.4050,26.4390,26.42467,300,3
20200102,AY,09:38,26.4150,26.4150,26.4150,26.4150,26.415,100,1
20200102,AY,09:39,26.41,26.41,26.40,26.40,26.40339,295,2
20200102,AY,09:40,26.40,26.42,26.40,26.40,26.405,800,8
20200102,AY,09:43,26.40,26.40,26.40,26.40,26.40,200,2
20200102,AY,09:45,26.39,26.41,26.39,26.41,26.39178,1124,11
20200102,AY,09:51,26.40,26.40,26.40,26.40,26.40,250,2
20200102,AY,09:59,26.43,26.43,26.43,26.43,26.43,100,1
20200102,AY,10:02,26.38,26.38,26.37,26.37,26.37495,202,2
20200102,AY,10:07,26.34,26.35,26.30,26.30,26.32823,1783,12
20200102,AY,10:10,26.31,26.31,26.31,26.31,26.31,300,3
20200102,AY,10:12,26.31,26.3550,26.31,26.3550,26.33625,400,4
20200102,AY,10:17,26.34,26.34,26.34,26.34,26.34,100,1
20200102,AY,10:22,26.36,26.40,26.3550,26.40,26.36481,727,6
20200102,AY,10:27,26.33,26.33,26.33,26.33,26.33,1700,1
20200102,AY,10:37,26.28,26.28,26.27,26.27,26.27787,508,2
20200102,AY,10:44,26.19,26.19,26.19,26.19,26.19,200,2
20200102,AY,10:45,26.18,26.18,26.18,26.18,26.18,100,1
20200102,AY,10:47,26.21,26.21,26.21,26.21,26.21,100,1
20200102,AY,10:54,26.15,26.15,26.15,26.15,26.15,100,1
20200102,AY,10:56,26.19,26.19,26.19,26.19,26.19,100,1
20200102,AY,10:58,26.19,26.26,26.19,26.26,26.21489,2049,16
20200102,AY,10:59,26.25,26.25,26.20,26.25,26.23333,300,3
20200102,AY,11:00,26.26,26.26,26.26,26.26,26.26,200,2
20200102,AY,11:01,26.25,26.26,26.25,26.26,26.255,200,2
20200102,AY,11:02,26.25,26.25,26.25,26.25,26.25,100,1
20200102,AY,11:03,26.28,26.35,26.2750,26.35,26.30071,700,7
20200102,AY,11:07,26.34,26.34,26.31,26.31,26.325,200,2
20200102,AY,11:08,26.34,26.34,26.34,26.34,26.34,100,1
20200102,AY,11:09,26.33,26.34,26.33,26.34,26.335,200,2
20200102,AY,11:10,26.34,26.37,26.34,26.37,26.34778,900,9
20200102,AY,11:11,26.33,26.36,26.32,26.35,26.33091,1100,11
20200102,AY,11:12,26.33,26.33,26.32,26.32,26.32727,550,5
20200102,AY,11:15,26.3150,26.3150,26.28,26.28,26.29318,1100,11
20200102,AY,11:16,26.25,26.26,26.20,26.20,26.23625,800,8
20200102,AY,11:17,26.23,26.29,26.22,26.29,26.24471,1700,17
20200102,AY,11:18,26.29,26.32,26.28,26.32,26.30167,600,6
20200102,AY,11:21,26.27,26.27,26.27,26.27,26.27,200,2
20200102,AY,11:23,26.25,26.25,26.20,26.20,26.22,300,3
20200102,AY,11:24,26.20,26.20,26.20,26.20,26.20,100,1
20200102,AY,11:26,26.18,26.18,26.14,26.17,26.15673,743,7
20200102,AY,11:27,26.17,26.18,26.17,26.18,26.17167,600,6
20200102,AY,11:29,26.18,26.20,26.18,26.20,26.19,200,2
20200102,AY,11:30,26.20,26.20,26.20,26.20,26.20,100,1
20200102,AY,11:33,26.20,26.25,26.20,26.25,26.20714,1400,14
20200102,AY,11:34,26.2350,26.25,26.2350,26.25,26.2425,200,2
20200102,AY,11:35,26.23,26.23,26.23,26.23,26.23,300,3
20200102,AY,11:36,26.24,26.25,26.22,26.22,26.23,800,8
20200102,AY,11:37,26.23,26.23,26.23,26.23,26.23,100,1
