Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AYX,07:00,100.39,101.00,100.39,101.00,100.92365,799,5
20200102,AYX,07:03,101.00,101.00,100.87,100.87,100.92352,600,2
20200102,AYX,07:21,101.11,101.11,101.11,101.11,101.11,1000,1
20200102,AYX,08:15,102.58,102.58,102.50,102.50,102.55333,300,3
20200102,AYX,09:09,101.75,101.75,101.75,101.75,101.75,100,1
20200102,AYX,09:30,101.48,102.27,101.43,102.27,101.53535,16731,12
20200102,AYX,09:31,102.0750,102.41,102.00,102.41,102.13458,1200,7
20200102,AYX,09:32,102.44,102.82,102.31,102.82,102.51789,6669,44
20200102,AYX,09:33,102.8550,103.00,102.55,103.00,102.79239,2365,21
20200102,AYX,09:34,103.13,103.25,102.82,103.10,103.11804,15390,28
20200102,AYX,09:35,103.10,103.49,103.10,103.49,103.20321,2900,15
20200102,AYX,09:36,103.50,103.83,103.50,103.60,103.6974,3795,33
20200102,AYX,09:37,103.5050,104.09,103.40,103.7550,103.85364,7133,62
20200102,AYX,09:38,103.63,103.71,103.56,103.71,103.62182,1648,15
20200102,AYX,09:39,103.83,103.83,103.73,103.73,103.76333,300,2
20200102,AYX,09:40,103.71,103.86,103.71,103.76,103.77064,3272,31
20200102,AYX,09:41,103.67,103.78,103.47,103.58,103.5825,2800,21
20200102,AYX,09:42,103.48,103.73,103.02,103.73,103.50563,9605,79
20200102,AYX,09:43,103.74,104.20,103.70,104.14,104.02464,11419,68
20200102,AYX,09:44,104.15,104.54,104.15,104.54,104.23239,3834,22
20200102,AYX,09:45,104.47,104.47,104.11,104.11,104.2273,1528,13
20200102,AYX,09:46,104.12,104.14,104.06,104.06,104.1125,400,4
20200102,AYX,09:47,103.87,103.87,103.65,103.65,103.83847,1533,11
20200102,AYX,09:48,103.72,103.85,103.71,103.72,103.75086,1361,12
20200102,AYX,09:49,103.75,103.75,103.75,103.75,103.75,100,1
20200102,AYX,09:50,103.65,104.07,103.65,104.07,103.94057,1651,15
20200102,AYX,09:52,104.01,104.01,103.78,103.78,103.93097,952,9
20200102,AYX,09:53,103.8550,103.88,103.71,103.72,103.80071,1400,13
20200102,AYX,09:54,103.7850,103.7850,103.7850,103.7850,103.785,100,1
20200102,AYX,09:55,103.80,104.10,103.80,104.05,103.93651,945,8
20200102,AYX,09:56,104.02,104.05,103.88,104.04,104.00632,2297,17
20200102,AYX,09:57,104.02,104.02,104.02,104.02,104.02,100,1
20200102,AYX,09:58,103.97,103.97,103.75,103.85,103.87552,986,8
20200102,AYX,09:59,103.97,104.21,103.93,104.19,104.08494,7274,33
20200102,AYX,10:00,104.12,104.12,103.76,103.76,103.93263,1900,19
20200102,AYX,10:01,103.61,103.64,103.49,103.49,103.58395,3800,25
20200102,AYX,10:02,103.47,103.53,103.33,103.33,103.41788,1642,15
20200102,AYX,10:03,103.45,103.45,103.21,103.21,103.37327,6646,37
20200102,AYX,10:04,103.29,103.3950,103.29,103.3950,103.33708,1200,10
20200102,AYX,10:05,103.32,103.38,103.23,103.26,103.28426,3518,33
20200102,AYX,10:06,103.32,103.44,103.29,103.44,103.33125,6320,50
20200102,AYX,10:07,103.45,103.45,103.10,103.10,103.29111,5360,47
20200102,AYX,10:08,103.05,103.08,102.92,102.92,103.04,600,6
20200102,AYX,10:09,102.78,102.87,102.77,102.87,102.81137,1838,18
20200102,AYX,10:10,102.85,102.85,102.57,102.57,102.77035,9781,55
20200102,AYX,10:11,102.53,102.53,102.21,102.21,102.36651,2120,19
20200102,AYX,10:12,102.19,102.37,102.19,102.37,102.29705,1845,16
20200102,AYX,10:13,102.33,102.33,102.24,102.31,102.30,900,9
20200102,AYX,10:15,102.18,102.18,101.90,101.97,101.998,5000,28
20200102,AYX,10:16,102.12,102.13,102.12,102.13,102.125,200,2
