Date,Ticker,TimeBarStart,FirstTradePrice,HighTradePrice,LowTradePrice,LastTradePrice,VolumeWeightPrice,Volume,TotalTrades
20200102,AZPN,09:30,122.19,122.19,121.25,121.25,122.15498,2845,2
20200102,AZPN,09:31,122.13,122.14,122.13,122.14,122.13181,551,5
20200102,AZPN,09:32,121.85,121.85,121.85,121.85,121.85,108,1
20200102,AZPN,09:33,122.14,122.22,121.95,122.14,122.15652,2820,22
20200102,AZPN,09:34,122.38,122.63,122.38,122.62,122.56808,886,7
20200102,AZPN,09:35,122.93,122.98,122.93,122.98,122.955,200,2
20200102,AZPN,09:37,123.20,123.20,123.20,123.20,123.20,100,1
20200102,AZPN,09:38,123.18,123.18,123.17,123.17,123.17222,900,9
20200102,AZPN,09:39,123.10,123.10,123.10,123.10,123.10,100,1
20200102,AZPN,09:40,123.48,123.84,123.48,123.84,123.69404,644,6
20200102,AZPN,09:41,123.52,123.52,123.51,123.52,123.5175,400,4
20200102,AZPN,09:43,123.54,123.62,123.54,123.62,123.57376,237,2
20200102,AZPN,09:46,123.50,123.50,123.21,123.21,123.416,500,5
20200102,AZPN,09:47,123.19,123.19,123.19,123.19,123.19,100,1
20200102,AZPN,09:49,123.25,123.25,123.25,123.25,123.25,114,1
20200102,AZPN,09:50,123.35,123.4650,123.29,123.29,123.36571,700,7
20200102,AZPN,09:51,123.41,123.41,123.41,123.41,123.41,300,1
20200102,AZPN,09:52,123.35,123.35,123.27,123.27,123.30757,559,5
20200102,AZPN,09:53,123.21,123.22,123.18,123.22,123.20,700,7
20200102,AZPN,09:54,123.27,123.27,123.27,123.27,123.27,400,4
20200102,AZPN,09:56,123.40,123.40,123.40,123.40,123.40,100,1
20200102,AZPN,09:58,123.37,123.37,123.29,123.29,123.33,200,2
20200102,AZPN,09:59,123.34,123.54,123.34,123.54,123.44,200,2
20200102,AZPN,10:00,123.42,123.42,123.42,123.42,123.42,100,1
20200102,AZPN,10:01,123.41,123.47,123.41,123.47,123.44,200,2
